,0
0,مستشفى شبرا العام
1,مستشفى حلوان العام
2,مستشفى الفيوم العام
3,مستشفى برج العرب المركزي
4,مستشفى الهلال الأحمر (باكوس)
5,الهلال الاحمر بطنطا
6,مستشفى ملوي التخصصي
7,مستشفى العدوة العام
8,المركز الاقليمي لنقل الدم بالمنيا
9,مستشفى الايمان بأسيوط
10,مستشفى نجع حمادي المركزي
11,مستشفى ابو طشت المركزي
12,مستشفى أرمنت المركزي
13,مستشفى كوم امبو العام
14,مستشفى حورس العام
15,المركز الاقليمي لنقل الدم بأسوان
16,مستشفى الداخلة العام
17,مستشفى الفرافرة العام
18,مستشفى الخارجة العام
19,مستشفى سيوة المركزي
20,مستشفى رأس الحكمة المركزي
21,مستشفى الضبعة
22,مستشفى سيدي براني
23,مستشفى العلمين
24,مستشفى السلوم المركزي
25,المركز الاقليمي لنقل الدم بمرسى مطروح
26,مستشفى نويبع العام
27,مستشفى دهب العام
28,المركز الاقليمي لنقل الدم بجنوب سيناء (داخل مستشفي شرم الشيخ الدولي)
29,مستشفى العريش العام
30,مستشفى رفح العام
31,مستشفى الشيخ زويد العام
32,مستشفى بئر العبد العام
33,المركز الاقليمي لنقل الدم بالاسماعيلية
34,مستشفي الاسماعلية العام
35,المركز الاقليمي لنقل الدم ببورسعيد
36,مستشفي  السويس العام
37,مستشفى الغردقة العام
38,مستشفى القصير المركزي
39,مستشفى سفاجا المركزي
40,المركز الاقليمي لنقل الدم بالغردقة
41,مستشفى شبراخيت المركزي
42,المركز الاقليمي لنقل الدم بالمنصورة
43,Kharga rest (Oasis)
44,Kharga gas station (Oasis)
45,zayyat school dakhla (Oasis)
46,الوحدة الصحية بالبشندي (Oasis)
47,Farafra farm (Oasis)
48,Farafra farm (Oasis)
49,الوحدة الصحية بأبو منقار (Oasis)
50,company virtual hub(Siwa)
51,Siwa gas station (Siwa)
52,Cara Elementary School (Siwa)
53,Siwa gardens project (Siwa)
54, (South sinai)مستشفى ابو زنيمة 
55, (South sinai)محطة وقود وطنية وادي فيران
56,petro company (Red sea)
57,مستشفى النجيلة المركزي (marsa matrouh) 
