,0
0,مستشفى البدرشين المركزي
1,مستشفى العياط المركزي
2,مستشفى 6 اكتوبر المركزي
3,مستشفى أطفيح العام
4,مستشفى شبين القناطر المركزي
5,المركز الاقليمي لنقل الدم بأسنيت
6,مستشفى السادات المركزي
7,مستشفى فاقوس المركزي
8,مستشفى ابو حماد المركزي
9,مستشفى كفر الزيات العام
10,مستشفى أجا المركزي
11,مستشفى المنزلة المركزي
12,مستشفى ميت سلسيل المركزي
13,مستشفى بيلا المركزي
14,مستشفى قلين المركزي
15,مستشفى مطوبس المركزي
16,مستشفى رشيد المركزي
17,مستشفى وادي النطرون المركزي
18,مستشفى بدر بالبحيرة
19,مستشفى حوش عيسي المركزي
20,مستشفى ابشواي المركزي
21,مستشفى طامية المركزي
22,مستشفى سمسطا المركزي
23,المركز الاقليمي لنقل الدم ببني سويف
24,مستشفى المنيا العام
25,مستشفى مغاغة المركزي
26,مستشفى سمالوط المركزي
27,مستشفى مطاي المركزي
28,مستشفى دار مواس المركزي
29,مستشفى القوصية العام
30,مستشفى منفلوط المركزي
31,مستشفى ابنوب المركزي
32,مستشفى الغنايم المركزي
33,مستشفى البداري المركزي
34,مستشفى ساقتلة المركزي
35,مستشفى المنشاه المركزي
36,مستشفى البلينا المركزي
37,مستشفى فرشوط المركزي
38,مستشفى دشنا المركزي
39,مستشفى الاقصر العام
40,مستشفى اسنا المركزي
41,مستشفى أرمنت المركزي
42,مستشفى الاقصر الدولي
43,مستشفى برج العرب المركزي
44,مستشفى العامرية العام
45,مستشفى الحميات (الحضرة)
46,المركز الاقليمي لنقل الدم بالاسماعيلية
47,مستشفي القنطره غرب
48,مستشفي القصاصين المركزي
49,مستشفي فايد المركزي
50,مستشفي الاسماعلية العام
51,مستشفى الصدر بالاسماعيلية
52,مستشفي بورسعيد العام
53,مستشفى بورفؤاد العام
54,مستشفى النصر ببورسعيد
55,المركز الاقليمي لنقل الدم ببورسعيد
56,مستشفي السويس العام
